,Date,User,Tweet
79,2022-11-06 20:35:22+00:00,dnsmichi,"@adumansr @eddiejaoude When I joined an OSS project in 2009, we had a self-hosted Git server, Redmine for issue tracking, mailing lists to share Git patches.

Later Gitorious, and GitLab on a public self-managed instance.

Self-service workflows with forking, CI/CD, etc. made OSS contributions easier."
80,2022-11-06 20:25:57+00:00,dmhlr,"@BartoszMilewski @gitlab FYI reshared on @LinkedIn
https://t.co/vz8KXFyuU1"
81,2022-11-06 20:13:03+00:00,throwawayndelet,@BartoszMilewski @gitlab This Is easily outside terms of service but Reverse engineering Is supposef to be legal
82,2022-11-06 20:09:02+00:00,stockresearchhq,"GitLab $GTLB quarterly revenue growth rate YoY of 73.80% ranked

⭐⭐⭐⭐⭐

in our db. Impressive! https://t.co/hGe1kayZUu"
83,2022-11-06 20:03:11+00:00,abhaybhargav,"DevSecOps areas to make you more hireable: 

- Customizing SAST, especially with @semgrep 
- CI/CD - Github/Gitlab/Jenkins/etc
- DAST with @pdnuclei"
84,2022-11-06 19:43:33+00:00,dimko1,"@dzaporozhets @gitlab Thank you, man!"
85,2022-11-06 19:21:26+00:00,flavius_houk,"@gitlab @sytses you've mentioned in the article (https://t.co/qmWqAJwLXt) that you are ""against the violence and unlawful invasion"". Please ban the organization in the tweet. Those people are trying to do more harm to Ukraine and should not have the access to your services. https://t.co/TayqfWD6mW"
86,2022-11-06 19:19:20+00:00,SeanWrightSec,"Some things when predicting the ""demise"" of Twitter. When GitHub was acquired by Microsoft, a lot left to GitLab. Look where GitHub is today. When Lastpass changed their licencing a lot went to Birwarden, look where Lastpass is today. It may be a different story, but unlikely."
87,2022-11-06 19:16:22+00:00,ludictony,@BartoszMilewski @gitlab Gitlab is and was very pro russsian. I bet they provide support for russian military as well. Look what they do - helping putin from day 1. #Putin #gitlab
88,2022-11-06 19:15:38+00:00,datarade,"Facebook should shutdown Meta research and buy Twilio, Gitlab, and Nikita Bier."
89,2022-11-06 19:08:47+00:00,dnsmichi,"@3_Dwedar @eddiejaoude I don't think it is bad having accounts on platforms where you'd like to engage with communities, and contribute to OSS. 

Do not remember when I created my GitHub account, must be 2013 to 2015. Has a long history of OSS contributions, and I'll continue since joining GitLab :)"
90,2022-11-06 19:05:00+00:00,gitlab,"Migrating to an end-to-end platform might seem like a steep hill to climb, especially for SMBs. But migrating to a simpler, more powerful end-to-end platform is worth the journey. https://t.co/gMGo4VUTDy"
91,2022-11-06 19:02:10+00:00,sanjaykalra,"#Startups often operate 100% #remote, tech companies @gitlab, @zapier lead the way as all-remote organizations. Can mainstream organizations-esp. those operating with physical workplaces for decades switch to all-remote? @joemckendrick #RemoteWork 
https://t.co/6mv2ye7NQ5"
92,2022-11-06 18:39:27+00:00,YusharthSingh,"6. Full-Stack Development Skills

1. Expertise in Frontend and backend languages and technologies like HTML, CSS, JS, Python, Java, PHP, Perl, Ruby etc.

2. Knowledge of DBMS, and Web Hosting Platforms.

3. Version Control Systems like GitHub and GitLab"
93,2022-11-06 18:38:23+00:00,dzaporozhets,@dimko1 @gitlab I sent a dm to @gitlab. I hope they will address it soon
94,2022-11-06 18:34:02+00:00,Securityblog,badsectorlabs / Iscariot Suite · GitLab https://t.co/UVlznbHKKu
95,2022-11-06 18:28:28+00:00,webknjaz,"@BarrySchachter @BartoszMilewski @gitlab Somebody should send them an MR with a banner from https://t.co/MlYmPlUJjG
😂 #StandWithUkraine️ #StoprussianNazis #russiaisaterrorisstate #russiaIsANaziState"
96,2022-11-06 18:22:07+00:00,balasankarc,@championswimmer We at GitLab are hiring across all departments - https://t.co/XxbQHeWv2H
97,2022-11-06 18:19:14+00:00,NxSec,"@mattbdevaney Would love to see an article on HOW to save PowerApps in GitHub, GitLab, Azure DevOps etc for shared development?"
98,2022-11-06 18:18:44+00:00,GeorgeTailor_,"@BartoszMilewski @gitlab The US have plans to cut muscovites from any IT international business completely, by sanctions of course. Soon enough this will not be a problem at all. Unfortunately this might take from couple of months to even half of a year or so:("
99,2022-11-06 18:18:37+00:00,BattlestarCoder,@urAvgKarthik @adii_kris @gitlab @HasuraHQ Where!
